startframe	starttime	endframe	endtime
0	0.066	41	1.434
42	1.468	45	1.568
46	1.601	327	10.977
328	11.011	346	11.611
347	11.644	366	12.278
367	12.312	487	16.316
488	16.349	627	20.987
628	21.021	767	25.658
768	25.692	905	30.263
906	30.296	1048	35.035
1049	35.068	1187	39.672
1188	39.706	1328	44.377
1329	44.411	1465	48.948
1466	48.982	1600	53.453
1601	53.486	1738	58.058
1739	58.091	1798	60.06
1799	60.093	1827	61.027
1828	61.061	1842	61.528
1843	61.561	1846	61.661
1847	61.694	1941	64.831
1942	64.864	2016	67.333
2017	67.367	2157	72.038
2158	72.072	2295	76.643
2296	76.676	2433	81.247
2434	81.281	2573	85.919
2574	85.952	2643	88.254
2644	88.288	2712	90.557
2713	90.59	2783	92.926
2784	92.959	2854	95.295
2855	95.328	2922	97.564
2923	97.597	2998	100.1
2999	100.133	3137	104.737
3138	104.771	3206	107.04
3207	107.073	3276	109.375
3277	109.409	3414	113.98
3415	114.013	3553	118.618
3554	118.651	3565	119.018
3566	119.052	3688	123.123
3689	123.156	3833	127.961
3834	127.994	3970	132.532
3971	132.565	4110	137.203
4111	137.237	4247	141.774
4248	141.808	4385	146.379
4386	146.412	4528	151.151
4529	151.184	4549	151.851
4550	151.885	4596	153.419
4597	153.453	4643	154.988
4644	155.021	4645	155.054
4646	155.088	4665	155.722
4666	155.755	4806	160.426
4807	160.46	5013	167.333
5014	167.367	5086	169.769
5087	169.802	5094	170.036
5095	170.069	5104	170.37
5105	170.403	5369	179.212
5370	179.245	5652	188.655
5653	188.688	5721	190.957
5722	190.99	5789	193.226
5790	193.259	5925	197.764
5926	197.797	6066	202.468
6067	202.502	6206	207.14
6207	207.173	6348	211.878
6349	211.911	6486	216.482
6487	216.516	6594	220.086
6595	220.119	6598	220.22
6599	220.253	6617	220.853
6618	220.887	6624	221.087
6625	221.12	6762	225.692
6763	225.725	6902	230.363
6903	230.396	7044	235.101
7045	235.134	7122	237.704
7123	237.737	7187	239.872
7188	239.906	7333	244.744
7334	244.777	7555	252.151
7556	252.185	7906	263.863
