startframe	starttime	endframe	endtime
0	0	227	9.08
228	9.12	237	9.48
238	9.52	250	10
251	10.04	262	10.48
263	10.52	328	13.12
329	13.16	357	14.28
358	14.32	393	15.72
394	15.76	403	16.12
404	16.16	423	16.92
424	16.96	467	18.68
468	18.72	508	20.32
509	20.36	543	21.72
544	21.76	643	25.72
644	25.76	848	33.92
849	33.96	928	37.12
929	37.16	940	37.6
941	37.64	1324	52.96
1325	53	1685	67.4
1686	67.44	1843	73.72
1844	73.76	1916	76.64
1917	76.68	2050	82
2051	82.04	2309	92.36
2310	92.4	2650	106
2651	106.04	2810	112.4
2811	112.44	2850	114
2851	114.04	3001	120.04
3002	120.08	3132	125.28
3133	125.32	3174	126.96
3175	127	3315	132.6
3316	132.64	3344	133.76
3345	133.8	3359	134.36
3360	134.4	3469	138.76
3470	138.8	3515	140.6
3516	140.64	3520	140.8
3521	140.84	3550	142
3551	142.04	3555	142.2
3556	142.24	3889	155.56
3890	155.6	3937	157.48
3938	157.52	4160	166.4
4161	166.44	4476	179.04
4477	179.08	4636	185.44
4637	185.48	4642	185.68
4643	185.72	4672	186.88
4673	186.92	4712	188.48
4713	188.52	4745	189.8
4746	189.84	4973	198.92
4974	198.96	5110	204.4
5111	204.44	5184	207.36
5185	207.4	5249	209.96
5250	210	5271	210.84
5272	210.88	5391	215.64
5392	215.68	5514	220.56
5515	220.6	5569	222.76
5570	222.8	5683	227.32
5684	227.36	6033	241.32
6034	241.36	6133	245.32
6134	245.36	6203	248.12
6204	248.16	6282	251.28
6283	251.32	6356	254.24
6357	254.28	6363	254.52
6364	254.56	6396	255.84
6397	255.88	6498	259.92
6499	259.96	6798	271.92
6799	271.96	6811	272.44
6812	272.48	6858	274.32
6859	274.36	6970	278.8
6971	278.84	7194	287.76
7195	287.8	7425	297
7426	297.04	7598	303.92
7599	303.96	7687	307.48
7688	307.52	8019	320.76
8020	320.8	8371	334.84
8372	334.88	8901	356.04
8902	356.08	8917	356.68
8918	356.72	8952	358.08
8953	358.12	9133	365.32
9134	365.36	9378	375.12
9379	375.16	9443	377.72
9444	377.76	9475	379
9476	379.04	9588	383.52
9589	383.56	9720	388.8
9721	388.84	9899	395.96
9900	396	9929	397.16
9930	397.2	9983	399.32
9984	399.36	10080	403.2
10081	403.24	10086	403.44
10087	403.48	10165	406.6
10166	406.64	10196	407.84
10197	407.88	10251	410.04
10252	410.08	10255	410.2
10256	410.24	10274	410.96
10275	411	10280	411.2
10281	411.24	10577	423.08
10578	423.12	10646	425.84
10647	425.88	10666	426.64
10667	426.68	10744	429.76
10745	429.8	10763	430.52
10764	430.56	10773	430.92
10774	430.96	10796	431.84
10797	431.88	10855	434.2
10856	434.24	10930	437.2
10931	437.24	10936	437.44
10937	437.48	10960	438.4
10961	438.44	11161	446.44
11162	446.48	11271	450.84
11272	450.88	11460	458.4
11461	458.44	12060	482.4
12061	482.44	12238	489.52
12239	489.56	12305	492.2
12306	492.24	12433	497.32
12434	497.36	12447	497.88
12448	497.92	12455	498.2
12456	498.24	12605	504.2
12606	504.24	12934	517.36
12935	517.4	12999	519.96
13000	520	13034	521.36
13035	521.4	13062	522.48
13063	522.52	13285	531.4
13286	531.44	13338	533.52
13339	533.56	13365	534.6
13366	534.64	13388	535.52
13389	535.56	13408	536.32
13409	536.36	13413	536.52
13414	536.56	13438	537.52
13439	537.56	13487	539.48
13488	539.52	13608	544.32
13609	544.36	13670	546.8
13671	546.84	13810	552.4
13811	552.44	14023	560.92
14024	560.96	14165	566.6
14166	566.64	14362	574.48
14363	574.52	14405	576.2
14406	576.24	14555	582.2
14556	582.24	14618	584.72
14619	584.76	14700	588
14701	588.04	15040	601.6
