startframe	starttime	endframe	endtime
0	0	127	5.08
128	5.12	133	5.32
134	5.36	146	5.84
147	5.88	157	6.28
158	6.32	199	7.96
200	8	249	9.96
250	10	261	10.44
262	10.48	289	11.56
290	11.6	334	13.36
335	13.4	341	13.64
342	13.68	355	14.2
356	14.24	371	14.84
372	14.88	375	15
376	15.04	390	15.6
391	15.64	403	16.12
404	16.16	472	18.88
473	18.92	534	21.36
535	21.4	554	22.16
555	22.2	615	24.6
616	24.64	625	25
626	25.04	643	25.72
644	25.76	649	25.96
650	26	682	27.28
683	27.32	696	27.84
697	27.88	755	30.2
756	30.24	864	34.56
865	34.6	883	35.32
884	35.36	885	35.4
886	35.44	904	36.16
905	36.2	916	36.64
917	36.68	950	38
951	38.04	1063	42.52
1064	42.56	1159	46.36
1160	46.4	1186	47.44
1187	47.48	1193	47.72
1194	47.76	1204	48.16
1205	48.2	1213	48.52
1214	48.56	1300	52
1301	52.04	1304	52.16
1305	52.2	1346	53.84
1347	53.88	1456	58.24
1457	58.28	1461	58.44
1462	58.48	1481	59.24
1482	59.28	1504	60.16
1505	60.2	1525	61
1526	61.04	1810	72.4
1811	72.44	1873	74.92
1874	74.96	1902	76.08
1903	76.12	1919	76.76
1920	76.8	1936	77.44
1937	77.48	1942	77.68
1943	77.72	2054	82.16
2055	82.2	2086	83.44
2087	83.48	2097	83.88
2098	83.92	2105	84.2
2106	84.24	2472	98.88
2473	98.92	2742	109.68
2743	109.72	2762	110.48
2763	110.52	2768	110.72
2769	110.76	2882	115.28
2883	115.32	2893	115.72
2894	115.76	2956	118.24
2957	118.28	3623	144.92
3624	144.96	3631	145.24
3632	145.28	3643	145.72
3644	145.76	3653	146.12
3654	146.16	3710	148.4
3711	148.44	4046	161.84
4047	161.88	4090	163.6
4091	163.64	4099	163.96
4100	164	4114	164.56
4115	164.6	4136	165.44
4137	165.48	4294	171.76
4295	171.8	4303	172.12
4304	172.16	4315	172.6
4316	172.64	4321	172.84
4322	172.88	4378	175.12
4379	175.16	4399	175.96
4400	176	4405	176.2
4406	176.24	4418	176.72
4419	176.76	4430	177.2
4431	177.24	4446	177.84
4447	177.88	4458	178.32
4459	178.36	4990	199.6
4991	199.64	5004	200.16
5005	200.2	5014	200.56
5015	200.6	5110	204.4
5111	204.44	5175	207
5176	207.04	5262	210.48
5263	210.52	5270	210.8
5271	210.84	5438	217.52
5439	217.56	5513	220.52
5514	220.56	5570	222.8
5571	222.84	5746	229.84
5747	229.88	5753	230.12
5754	230.16	5766	230.64
5767	230.68	5777	231.08
5778	231.12	6080	243.2
6081	243.24	6173	246.92
6174	246.96	6202	248.08
6203	248.12	6209	248.36
6210	248.4	6222	248.88
6223	248.92	6236	249.44
6237	249.48	6261	250.44
6262	250.48	6282	251.28
6283	251.32	6290	251.6
6291	251.64	6301	252.04
6302	252.08	6313	252.52
6314	252.56	6342	253.68
6343	253.72	6664	266.56
6665	266.6	6676	267.04
6677	267.08	6688	267.52
6689	267.56	6711	268.44
6712	268.48	6823	272.92
