startframe	starttime	endframe	endtime
0	0.08	202	8.16
203	8.2	210	8.48
211	8.52	371	14.92
372	14.96	559	22.44
560	22.48	745	29.88
746	29.92	929	37.24
930	37.28	1118	44.8
1119	44.84	1299	52.04
1300	52.08	1390	55.68
1391	55.72	1484	59.44
1485	59.48	1605	64.28
1606	64.32	1687	67.56
1688	67.6	1753	70.2
1754	70.24	1856	74.32
1857	74.36	1951	78.12
1952	78.16	2040	81.68
2041	81.72	2228	89.2
2229	89.24	2414	96.64
2415	96.68	2416	96.72
2417	96.76	2526	101.12
2527	101.16	2594	103.84
2595	103.88	2692	107.76
2693	107.8	2696	107.92
2697	107.96	2816	112.72
2817	112.76	2819	112.84
2820	112.88	2857	114.36
2858	114.4	2961	118.52
2962	118.56	2964	118.64
2965	118.68	3058	122.4
3059	122.44	3065	122.68
3066	122.72	3137	125.56
3138	125.6	3151	126.12
3152	126.16	3218	128.8
3219	128.84	3332	133.36
3333	133.4	3350	134.08
3351	134.12	3379	135.24
3380	135.28	3518	140.8
3519	140.84	3573	143
3574	143.04	3592	143.76
3593	143.8	3717	148.76
3718	148.8	3909	156.44
3910	156.48	3934	157.44
3935	157.48	3937	157.56
3938	157.6	3953	158.2
3954	158.24	3979	159.24
3980	159.28	3993	159.8
3994	159.84	3995	159.88
3996	159.92	4022	160.96
4023	161	4038	161.6
4039	161.64	4046	161.92
4047	161.96	4062	162.56
4063	162.6	4070	162.88
4071	162.92	4098	164
4099	164.04	4260	170.48
4261	170.52	4302	172.16
4303	172.2	4314	172.64
4315	172.68	4325	173.08
4326	173.12	4375	175.08
4376	175.12	4467	178.76
4468	178.8	4533	181.4
4534	181.44	4713	188.6
4714	188.64	4787	191.56
4788	191.6	4819	192.84
4820	192.88	4890	195.68
4891	195.72	4909	196.44
4910	196.48	4954	198.24
4955	198.28	5070	202.88
5071	202.92	5075	203.08
5076	203.12	5087	203.56
5088	203.6	5171	206.92
5172	206.96	5338	213.6
5339	213.64	5354	214.24
5355	214.28	5373	215
5374	215.04	5380	215.28
5381	215.32	5396	215.92
5397	215.96	5401	216.12
5402	216.16	5414	216.64
5415	216.68	5430	217.28
5431	217.32	5439	217.64
5440	217.68	5448	218
5449	218.04	5460	218.48
5461	218.52	5479	219.24
5480	219.28	5489	219.64
5490	219.68	5498	220
5499	220.04	5511	220.52
5512	220.56	5524	221.04
5525	221.08	5534	221.44
5535	221.48	5546	221.92
5547	221.96	5561	222.52
5562	222.56	5570	222.88
5571	222.92	5579	223.24
5580	223.28	5595	223.88
5596	223.92	6094	243.84
6095	243.88	6102	244.16
6103	244.2	6111	244.52
6112	244.56	6138	245.6
6139	245.64	6149	246.04
6150	246.08	6168	246.8
6169	246.84	6257	250.36
6258	250.4	6281	251.32
