startframe	starttime	endframe	endtime
0	0	83	2.769
84	2.802	209	6.973
210	7.007	345	11.511
346	11.544	418	13.947
419	13.98	464	15.482
465	15.515	476	15.882
477	15.915	599	19.986
600	20.02	602	20.086
603	20.12	664	22.155
665	22.188	669	22.322
670	22.355	771	25.725
772	25.759	831	27.727
832	27.761	952	31.765
953	31.798	1133	37.804
1134	37.837	1144	38.171
1145	38.204	1150	38.371
1151	38.405	1174	39.172
1175	39.205	1231	41.074
1232	41.107	1279	42.675
1280	42.709	1334	44.511
1335	44.544	1370	45.712
1371	45.745	1431	47.747
1432	47.781	1479	49.349
1480	49.382	1532	51.117
1533	51.151	1542	51.451
1543	51.484	1648	54.988
1649	55.021	1708	56.99
1709	57.023	1718	57.323
1719	57.357	1755	58.558
1756	58.591	1790	59.726
1791	59.759	1863	62.162
1864	62.195	1923	64.164
1924	64.197	1970	65.732
1971	65.765	2019	67.367
2020	67.4	2067	68.968
2068	69.002	2098	70.003
2099	70.036	2205	73.573
2206	73.606	2270	75.742
2271	75.775	2330	77.744
2331	77.777	2369	79.045
2370	79.079	2391	79.779
2392	79.813	2417	80.647
2418	80.68	2451	81.781
2452	81.815	2503	83.516
2504	83.55	2565	85.585
2566	85.618	2632	87.821
2633	87.854	2698	90.023
2699	90.056	2851	95.128
2852	95.161	2853	95.195
2854	95.228	2884	96.229
2885	96.262	2998	100.033
2999	100.066	3076	102.635
3077	102.669	3204	106.906
3205	106.94	3229	107.74
3230	107.774	3322	110.844
3323	110.877	3449	115.081
3450	115.115	3508	117.05
3509	117.083	3598	120.053
3599	120.086	3691	123.156
3692	123.189	3711	123.823
3712	123.857	3778	126.059
3779	126.092	3841	128.161
3842	128.194	3899	130.096
3900	130.13	3935	131.297
3936	131.331	3993	133.233
3994	133.266	4021	134.167
4022	134.2	4060	135.468
4061	135.502	4119	137.437
4120	137.47	4187	139.706
4188	139.739	4232	141.207
4233	141.241	4277	142.709
4278	142.742	4353	145.245
4354	145.278	4449	148.448
4450	148.481	4513	150.583
4514	150.617	4638	154.754
4639	154.787	4700	156.823
4701	156.856	4757	158.725
4758	158.758	4800	160.16
4801	160.193	4864	162.295
4865	162.328	4946	165.031
4947	165.064	4996	166.699
4997	166.733	5054	168.635
5055	168.668	5116	170.703
5117	170.737	5190	173.173
5191	173.206	5254	175.308
5255	175.341	5322	177.577
5323	177.61	5367	179.078
