startframe	starttime	endframe	endtime
0	0	0	0
1	0.033	55	1.835
56	1.868	66	2.202
67	2.235	195	6.506
196	6.539	230	7.674
231	7.707	333	11.111
334	11.144	379	12.645
380	12.679	381	12.712
382	12.746	518	17.283
519	17.317	564	18.818
565	18.852	625	20.854
626	20.887	766	25.558
767	25.592	793	26.459
794	26.493	853	28.461
854	28.495	956	31.898
957	31.931	1005	33.533
1006	33.566	1053	35.135
1054	35.168	1160	38.705
1161	38.738	1240	41.374
1241	41.408	1256	41.908
1257	41.941	1318	43.977
1319	44.01	1363	45.478
1364	45.512	1423	47.48
1424	47.514	1473	49.149
1474	49.182	1581	52.752
1582	52.786	1742	58.124
1743	58.158	1873	62.495
1874	62.529	1927	64.297
1928	64.33	2068	69.002
2069	69.035	2122	70.804
2123	70.837	2198	73.34
2199	73.373	2279	76.042
2280	76.076	2306	76.943
2307	76.976	2420	80.747
2421	80.78	2473	82.515
2474	82.549	2524	84.217
2525	84.25	2676	89.289
2677	89.322	2768	92.359
2769	92.392	2804	93.56
2805	93.593	2838	94.694
2839	94.728	2904	96.896
2905	96.93	2976	99.299
2977	99.332	2996	99.966
2997	100	3046	101.634
3047	101.668	3091	103.136
3092	103.169	3130	104.437
3131	104.471	3155	105.271
3156	105.305	3195	106.606
3196	106.639	3275	109.275
3276	109.309	3329	111.077
3330	111.111	3352	111.845
3353	111.878	3412	113.847
3413	113.88	3491	116.483
3492	116.516	3566	118.985
3567	119.019	3592	119.853
3593	119.886	3679	122.756
3680	122.789	3757	125.358
3758	125.392	3785	126.292
3786	126.326	3802	126.86
3803	126.893	3820	127.46
3821	127.494	4034	134.601
4035	134.634	4121	137.504
4122	137.537	4218	140.74
4219	140.774	4372	145.879
4373	145.912	4514	150.617
4515	150.65	4731	157.857
4732	157.891	5151	171.871
5152	171.905	5309	177.143
5310	177.177	5449	181.815
5450	181.848	5519	184.15
5520	184.184	5648	188.455
5649	188.488	5998	200.133
5999	200.166	6239	208.174
6240	208.208	6331	211.244
6332	211.277	6459	215.515
6460	215.548	6610	220.553
6611	220.587	6671	222.589
6672	222.622	6741	224.924
6742	224.958	6922	230.964
6923	230.997	6995	233.4
6996	233.433	7151	238.605
7152	238.638	7278	242.842
7279	242.876	7335	244.744
7336	244.778	7397	246.813
7398	246.846	7445	248.415
7446	248.448	7476	249.449
7477	249.482	7478	249.516
7479	249.549	7533	251.351
7534	251.384	8049	268.568
8050	268.601	8471	282.649
