startframe	starttime	endframe	endtime
0	0	20	0.667
21	0.7	25	0.834
26	0.867	45	1.501
46	1.534	134	4.471
135	4.504	231	7.707
232	7.741	333	11.111
334	11.144	425	14.18
426	14.214	605	20.186
606	20.22	691	23.056
692	23.089	703	23.456
704	23.49	744	24.824
745	24.858	761	25.392
762	25.425	973	32.465
974	32.499	1100	36.703
1101	36.736	1260	42.042
1261	42.075	1393	46.479
1394	46.513	1597	53.286
1598	53.319	1768	58.992
1769	59.025	1835	61.227
1836	61.261	1873	62.495
1874	62.529	1923	64.164
1924	64.197	2026	67.6
2027	67.634	2132	71.137
2133	71.171	2234	74.541
2235	74.574	2375	79.245
2376	79.279	2474	82.549
2475	82.582	2545	84.918
2546	84.951	2700	90.09
2701	90.123	2739	91.391
2740	91.424	2922	97.497
2923	97.53	3057	102.001
3058	102.035	3122	104.17
3123	104.204	3198	106.706
3199	106.739	3275	109.275
3276	109.309	3283	109.542
3284	109.576	3323	110.877
3324	110.91	3326	110.977
3327	111.01	3341	111.478
3342	111.511	3358	112.045
3359	112.078	3374	112.579
3375	112.612	3609	120.42
3610	120.453	3750	125.125
3751	125.158	3830	127.794
3831	127.827	4558	152.085
4559	152.118	4622	154.22
4623	154.254	4632	154.554
4633	154.587	5075	169.335
5076	169.369	5104	170.303
5105	170.336	5415	180.68
5416	180.713	5833	194.627
5834	194.661	6001	200.233
6002	200.266	6031	201.234
6032	201.267	6156	205.405
6157	205.438	6162	205.605
6163	205.638	6224	207.674
6225	207.707	6227	207.774
6228	207.807	6953	231.998
6954	232.031	7394	246.713
