startframe	starttime	endframe	endtime
0	0	10	0.417
11	0.458	16	0.667
17	0.709	116	4.838
117	4.879	539	22.48
540	22.522	702	29.279
703	29.32	1039	43.334
1040	43.376	1202	50.133
1203	50.175	1316	54.888
1317	54.929	1337	55.764
1338	55.805	1367	57.015
1368	57.057	1474	61.478
1475	61.519	1616	67.4
1617	67.442	1870	77.994
1871	78.036	2058	85.835
2059	85.877	2121	88.463
2122	88.505	2237	93.301
2238	93.343	2348	97.931
2349	97.972	2488	103.77
2489	103.812	2713	113.154
2714	113.196	3060	127.627
3061	127.669	3133	130.672
3134	130.713	3212	133.967
3213	134.008	3223	134.425
3224	134.467	3247	135.426
3248	135.468	3288	137.137
3289	137.178	3356	139.973
3357	140.014	3369	140.515
3370	140.557	3371	140.598
3372	140.64	3386	141.224
3387	141.266	3415	142.433
3416	142.475	3422	142.725
3423	142.767	3432	143.143
3433	143.184	3450	143.893
3451	143.935	3555	148.273
3556	148.314	3666	152.902
3667	152.944	3773	157.365
3774	157.407	3897	162.537
3898	162.579	4001	166.875
4002	166.916	4164	173.673
4165	173.715	4227	176.301
4228	176.342	4290	178.928
4291	178.97	4358	181.764
4359	181.806	4414	184.1
4415	184.142	4519	188.479
4520	188.521	4740	197.697
4741	197.739	4874	203.286
4875	203.328	5031	209.834
5032	209.876	5089	212.253
5090	212.295	5203	217.008
5204	217.05	5315	221.679
5316	221.721	5443	227.018
5444	227.06	5540	231.064
5541	231.105	5687	237.195
5688	237.237	5751	239.864
5752	239.906	5848	243.91
5849	243.952	5975	249.207
5976	249.249	6132	255.755
6133	255.797	6196	258.424
6197	258.466	6210	259.008
6211	259.05	6239	260.218
6240	260.26	6280	261.928
6281	261.97	6289	262.303
6290	262.345	6400	266.933
6401	266.975	6436	268.434
6437	268.476	6590	274.857
6591	274.899	6662	277.86
6663	277.902	6738	281.03
6739	281.072	6783	282.907
6784	282.949	6843	285.41
6844	285.451	6880	286.953
6881	286.995	6899	287.745
6900	287.787	6910	288.204
6911	288.246	6919	288.579
6920	288.621	6928	288.955
6929	288.997	6977	290.999
6978	291.04	7043	293.751
7044	293.793	7071	294.919
7072	294.961	7197	300.174
7198	300.216	7489	312.353
7490	312.395	7504	312.979
7505	313.021	7524	313.813
7525	313.855	7528	313.98
7529	314.022	7597	316.858
7598	316.899	7612	317.483
7613	317.525	7728	322.322
7729	322.363	7731	322.447
7732	322.488	7747	323.114
7748	323.156	7852	327.493
7853	327.535	7859	327.785
7860	327.827	7866	328.077
7867	328.119	7905	329.704
7906	329.746	7933	330.872
7934	330.913	7941	331.205
7942	331.247	8025	334.709
8026	334.751	8045	335.543
8046	335.585	8052	335.835
8053	335.877	8063	336.294
8064	336.336	8079	336.961
8080	337.003	8087	337.295
8088	337.337	8167	340.631
8168	340.673	8273	345.053
